"Gilt Name","Close of Business Date","ISIN","Type","Coupon","Maturity","Clean Price","Dirty Price","Yield","Mod Duration","Accrued Interest"
"UKT 0.625 10/50","17/11/2023","GB00BMBL1F74","Conventional","0.625","22/10/2050","40.030","40.079522","4.482959","22.546606","0.049522"
"UKT 1.25 07/51","17/11/2023","GB00BLH38158","Conventional","1.250","31/07/2051","48.840","49.220435","4.499369","20.476668","0.380435"
"UKT 3.75 07/52","17/11/2023","GB00B6RNH572","Conventional","3.750","22/07/2052","87.620","88.853016","4.524747","16.398182","1.233016"
"UKT 1.5 07/53","17/11/2023","GB00BM8Z2V59","Conventional","1.500","31/07/2053","51.130","51.586522","4.498472","20.549362","0.456522"
"UKT 3.75 10/53","17/11/2023","GB00BPCJD997","Conventional","3.750","22/10/2053","87.130","87.427131","4.540544","16.896858","0.297131"
"UKT 1.625 10/54","17/11/2023","GB00BJLR0J16","Conventional","1.625","22/10/2054","52.440","52.568757","4.482320","20.792064","0.128757"
"UKT 4.25 12/55","17/11/2023","GB00B06YGN05","Conventional","4.250","07/12/2055","95.800","97.727596","4.498603","16.750587","1.927596"
"UKT 1.75 07/57","17/11/2023","GB00BD0XH204","Conventional","1.750","22/07/2057","53.590","54.165408","4.407918","21.247467","0.575408"
"UKT 4 01/60","17/11/2023","GB00B54QLM75","Conventional","4.000","22/01/2060","92.270","93.585217","4.430477","18.066405","1.315217"
"UKT 0.5 10/61","17/11/2023","GB00BMBL1D50","Conventional","0.500","22/10/2061","30.090","30.129617","4.203252","29.881888","0.039617"
"UKT 4 10/63","17/11/2023","GB00BMF9LF76","Conventional","4.000","22/10/2063","92.110","92.426940","4.422502","18.972478","0.316940"
"UKT 2.5 07/65","17/11/2023","GB00BYYMZX75","Conventional","2.500","22/07/2065","64.480","65.302011","4.354729","21.253898","0.822011"
"UKT 3.5 07/68","17/11/2023","GB00BBJNQY21","Conventional","3.500","22/07/2068","83.340","84.490815","4.348445","20.179877","1.150815"
"UKT 1.625 10/71","17/11/2023","GB00BFMCN652","Conventional","1.625","22/10/2071","47.200","47.328757","4.187804","25.220017","0.128757"
"UKT 1.125 10/73","17/11/2023","GB00BLBDX619","Conventional","1.125","22/10/2073","37.240","37.329139","4.077773","28.358842","0.089139"
"UKGI 0.125 03/24","17/11/2023","GB00B85SFQ54","Index-linked","0.125","22/03/2024","98.940","154.200868","3.304971","0.332419","0.031571"
"UKGI 0.125 03/26","17/11/2023","GB00BYY5F144","Index-linked","0.125","22/03/2026","98.440","144.021762","0.799842","2.325459","0.029637"
"UKGI 1.25 11/27","17/11/2023","GB00B128DH60","Index-linked","1.250","22/11/2027","103.220","200.898314","0.438139","3.912644","-0.013223"
"UKGI 0.125 08/28","17/11/2023","GB00BZ1NTB69","Index-linked","0.125","10/08/2028","98.703","133.570314","0.402515","4.699215","0.046869"
"UKGI 0.125 03/29","17/11/2023","GB00B3Y1JG82","Index-linked","0.125","22/03/2029","98.196","156.264036","0.467587","5.308152","0.032236"
"UKGI 0.125 08/31","17/11/2023","GB00BNNGP551","Index-linked","0.125","10/08/2031","98.414","126.661075","0.333188","7.672276","0.044575"
"UKGI 1.25 11/32","17/11/2023","GB00B3D4VD98","Index-linked","1.250","22/11/2032","107.123","186.347922","0.442303","8.546367","-0.011818"
"UKTI 2.5 07/24","17/11/2023","GB0008983024","Index-linked","2.500","17/07/2024","380.689","383.978148","2.341238","0.643869","3.289148"
"UKTI 4.125 07/30","17/11/2023","GB0008932666","Index-linked","4.125","22/07/2030","341.122","344.889769","0.449985","5.916720","3.767769"
"UKGI 0.75 11/33","17/11/2023","GB00BMF9LJ15","Index-linked","0.750","22/11/2033","102.200","103.706380","0.524018","9.637900","-0.004136"
"UKGI 0.75 03/34","17/11/2023","GB00B46CGH68","Index-linked","0.750","22/03/2034","101.390","165.116683","0.611034","9.927859","0.197737"
"UKTI 2 01/35","17/11/2023","GB0031790826","Index-linked","2.000","26/01/2035","243.670","245.044665","0.699212","10.070384","1.374665"
"UKGI 0.125 11/36","17/11/2023","GB00BYZW3J87","Index-linked","0.125","22/11/2036","92.190","133.927114","0.756686","12.850308","-0.000987"
"UKGI 1.125 11/37","17/11/2023","GB00B1L6W962","Index-linked","1.125","22/11/2037","103.840","193.935740","0.833928","12.967549","-0.011420"
"UKGI 0.125 03/39","17/11/2023","GB00BLH38265","Index-linked","0.125","22/03/2039","88.130","112.217927","0.959063","15.108481","0.025793"
"UKGI 0.625 03/40","17/11/2023","GB00B3LZBF68","Index-linked","0.625","22/03/2040","94.480","165.004653","0.991801","15.434751","0.176735"
"UKGI 0.125 08/41","17/11/2023","GB00BGDYHF49","Index-linked","0.125","10/08/2041","85.420","115.262082","1.026900","17.416306","0.046732"
"UKGI 0.625 11/42","17/11/2023","GB00B3MYD345","Index-linked","0.625","22/11/2042","92.480","164.414153","1.063039","17.800978","-0.006039"
"UKGI 0.125 03/44","17/11/2023","GB00B7RN0G65","Index-linked","0.125","22/03/2044","81.470","126.977310","1.149339","19.932185","0.031570"
"UKGI 0.625 03/45","17/11/2023","GB00BMF9LH90","Index-linked","0.625","22/03/2045","89.660","93.165054","1.174227","19.774070","0.105146"
"UKGI 0.125 03/46","17/11/2023","GB00BYMWG366","Index-linked","0.125","22/03/2046","79.220","116.110754","1.186740","21.850327","0.029688"
"UKGI 0.75 11/47","17/11/2023","GB00B24FFM16","Index-linked","0.750","22/11/2047","90.710","164.912440","1.196373","21.755493","-0.007411"
"UKGI 0.125 08/48","17/11/2023","GB00BZ13DV40","Index-linked","0.125","10/08/2048","77.050","105.962868","1.200631","24.126846","0.047626"
"UKGI 0.5 03/50","17/11/2023","GB00B421JZ66","Index-linked","0.500","22/03/2050","84.080","148.973464","1.207451","24.345792","0.143456"
"UKGI 0.125 03/51","17/11/2023","GB00BNNGP882","Index-linked","0.125","22/03/2051","74.910","96.236681","1.204954","26.621183","0.026022"
"UKGI 0.25 03/52","17/11/2023","GB00B73ZYW09","Index-linked","0.250","22/03/2052","77.440","120.915328","1.190240","27.023452","0.063238"
"UKGI 1.25 11/55","17/11/2023","GB00B0CNHZ09","Index-linked","1.250","22/11/2055","102.120","200.688190","1.170392","26.393982","-0.013352"
"UKGI 0.125 11/56","17/11/2023","GB00BYVP4K94","Index-linked","0.125","22/11/2056","71.950","102.604048","1.148498","31.998772","-0.000969"
"UKGI 0.125 03/58","17/11/2023","GB00BP9DLZ64","Index-linked","0.125","22/03/2058","70.970","104.795823","1.150836","33.237845","0.029909"
"UKGI 0.375 03/62","17/11/2023","GB00B4PTCY75","Index-linked","0.375","22/03/2062","76.980","123.400074","1.114476","35.040256","0.097359"
"UKGI 0.125 11/65","17/11/2023","GB00BD9MZZ71","Index-linked","0.125","22/11/2065","68.790","99.773406","1.044844","40.421007","-0.000985"
"UKGI 0.125 03/68","17/11/2023","GB00BDX8CX86","Index-linked","0.125","22/03/2068","68.500","103.656080","1.007704","42.576577","0.030650"
"UKGI 0.125 03/73","17/11/2023","GB00BM8Z2W66","Index-linked","0.125","22/03/2073","72.000","88.236343","0.815453","47.296666","0.024823"
"UKS  12/23","17/11/2023","GB0002442951","Strips","N/A","07/12/2023","99.762038","99.762038","5.121371","0.046465","N/A"
"UKS  03/24","17/11/2023","GB0030884562","Strips","N/A","07/03/2024","98.547225","98.547225","4.982222","0.291592","N/A"
"UKS  06/24","17/11/2023","GB0002443033","Strips","N/A","07/06/2024","97.412916","97.412916","4.846820","0.533769","N/A"
"UKS  09/24","17/11/2023","GB0030884679","Strips","N/A","07/09/2024","96.330946","96.330946","4.728613","0.775926","N/A"
"UKR  09/24","17/11/2023","GB00BLSNW788","Strips","N/A","07/09/2024","96.330946","96.330946","4.728613","0.775926","N/A"
"UKS  12/24","17/11/2023","GB0002443140","Strips","N/A","07/12/2024","95.295742","95.295742","4.658045","1.022631","N/A"
"UKR  03/25","17/11/2023","GB0030880701","Strips","N/A","07/03/2025","94.297524","94.297524","4.579688","1.267676","N/A"
"UKS  03/25","17/11/2023","GB0030884786","Strips","N/A","07/03/2025","94.297524","94.297524","4.579688","1.267676","N/A"
"UKS  06/25","17/11/2023","GB0002443256","Strips","N/A","07/06/2025","93.336205","93.336205","4.509474","1.512349","N/A"
"UKR  06/25","17/11/2023","GB00BK5H1X54","Strips","N/A","07/06/2025","93.336205","93.336205","4.509474","1.512349","N/A"
"UKS  09/25","17/11/2023","GB0030884893","Strips","N/A","07/09/2025","92.404286","92.404286","4.445450","1.757636","N/A"
"UKR  09/25","17/11/2023","GB00BWXBPL93","Strips","N/A","07/09/2025","92.404286","92.404286","4.445450","1.757636","N/A"
"UKS  12/25","17/11/2023","GB0002443363","Strips","N/A","07/12/2025","91.502317","91.502317","4.386934","2.002523","N/A"
"UKS  03/26","17/11/2023","GB0032727983","Strips","N/A","07/03/2026","90.623535","90.623535","4.333123","2.247999","N/A"
"UKS  06/26","17/11/2023","GB0002443470","Strips","N/A","07/06/2026","89.768597","89.768597","4.283882","2.493048","N/A"
"UKS  09/26","17/11/2023","GB0032728064","Strips","N/A","07/09/2026","88.931232","88.931232","4.238760","2.738661","N/A"
"UKS  12/26","17/11/2023","GB0002443587","Strips","N/A","07/12/2026","88.112234","88.112234","4.197753","2.983821","N/A"
"UKS  03/27","17/11/2023","GB0032728171","Strips","N/A","07/03/2027","87.305786","87.305786","4.160539","3.229521","N/A"
"UKS  06/27","17/11/2023","GB0002443694","Strips","N/A","07/06/2027","86.512864","86.512864","4.127138","3.474744","N/A"
"UKS  09/27","17/11/2023","GB0032728288","Strips","N/A","07/09/2027","85.728070","85.728070","4.097289","3.720484","N/A"
"UKS  12/27","17/11/2023","GB0002443702","Strips","N/A","07/12/2027","84.952615","84.952615","4.070995","3.965726","N/A"
"UKR  12/27","17/11/2023","GB00B1HYR000","Strips","N/A","07/12/2027","84.952615","84.952615","4.070995","3.965726","N/A"
